Cut,PD,Cand_RapCM,Cand_AbsRap,Cand_Pt,NTrack,ModelCandMass_JPsiToMuMuOS_PA8Y16,f_JPsiToMuMuOS_PA8Y16,Sigma1_JPsiToMuMuOS_PA8Y16,rSigma21_JPsiToMuMuOS_PA8Y16,AlphaR_JPsiToMuMuOS_PA8Y16,nR_JPsiToMuMuOS_PA8Y16,Alpha_JPsiToMuMuOS_PA8Y16,n_JPsiToMuMuOS_PA8Y16
PromptDecay,DIMUON,NONE,0.0-1.4,8.0-10.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev3[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.080],[1.5772],[1.7093],[7.0],[1.5],[1.8]
PromptDecay,DIMUON,NONE,0.0-1.4,8.0-10.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev4[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.080],[1.5772],[1.7093],[7.0],[1.5],[1.8]
PromptDecay,DIMUON,NONE,0.0-1.4,8.0-10.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev5[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.080],[1.5772],[1.7093],[7.0],[1.5],[1.8]
PromptDecay,DIMUON,NONE,0.0-1.4,8.0-10.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev6[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.080],[1.5772],[1.7093],[7.0],[1.5],[1.8]
PromptDecay,DIMUON,NONE,0.0-1.4,10.0-12.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.080],[1.5556],[1.6650],[7.0],[1.5],[1.8]
PromptDecay,DIMUON,NONE,0.0-1.4,10.0-12.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev1[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.080],[1.5556],[1.6650],[7.0],[1.5],[1.8]
PromptDecay,DIMUON,NONE,0.0-1.4,10.0-12.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev2[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.080],[1.5556],[1.6650],[7.0],[1.5],[1.8]
PromptDecay,DIMUON,NONE,0.0-1.4,10.0-12.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev3[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.080],[1.5556],[1.6650],[7.0],[1.5],[1.8]
PromptDecay,DIMUON,NONE,0.0-1.4,10.0-12.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev4[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.080],[1.5556],[1.6650],[7.0],[1.5],[1.8]
PromptDecay,DIMUON,NONE,0.0-1.4,10.0-12.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev5[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.080],[1.5556],[1.6650],[7.0],[1.5],[1.8]
PromptDecay,DIMUON,NONE,0.0-1.4,10.0-12.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev6[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.080],[1.5556],[1.6650],[7.0],[1.5],[1.8]
PromptDecay,DIMUON,NONE,0.0-1.4,12.0-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.080],[1.5525],[1.6060],[7.0],[1.5],[1.8]
PromptDecay,DIMUON,NONE,0.0-1.4,12.0-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev1[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.080],[1.5525],[1.6060],[7.0],[1.5],[1.8]
